"","X","index","brand","model","prod_class","prod_short_descr","num_usr_reviews","rec_rvw_rating","has_reviews","survey_cons","survey_pros","ratings_distribution","user_rating","user_rating_txt","user_rvw_hdln","submit_dateTime","submit_date","submit_time","rvw_username","rvw_userLocation","rvw_userCity","rvw_userState","rvw_userCountry","verified_buyer","verified_reviewer","user_review_content","btm_line_txt","url","reported_exceptions","RevwsGood"
"47",46,46,"Apple","Apple MacBook Air 11-inch MJVM2LL/A computer","laptop","An 11.6-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",3,4.3,"True","CONS
1 Logic Board Malfunction
1 Poor Battery Life
1 Poor Software Bundle
1 Poor Speaker Quality
1 Should Come In More Color","PROS
3 Fast
2 Easy To Use
2 Good Battery Life
2 Lightweight
1 Adequate Storage","5 Stars 2
4 Stars 0
3 Stars 1
2 Stars 0
1 Star 0",3,NA,"2 years of wonderful use disrupted by sudden issue","2016-10-22T07:06:49.173Z","2016-10-22","07:06:49.173","Sad college student","Provo, UT","Provo"," UT","USA",NA,"Verified Reviewer","I've used this computer for the last 2 years as a college student. I used the computer to mainly write documents, prepare presentations and use the internet. It has worked fantastically well. I loved the instantaneous start-up time, the good battery life and the general reliability. I've never had any bugs or weird problems. That's why it's so weird that it suddenly died today. I wrote an assignment last night, emailed it to my professor and went to bed. Then, when I wanted to check the weather today, I opened it up and tried to turn it on. No response. I pressed the power button again and again. No response. I plugged it in and let it charge for a few minutes. Still no effect. I looked online via someone else's computer and it looks like a ton of people have run into this problem as well. I tried a number of different ""magic"" button-pressing combinations people attest to online to no avail. I went to the Apple store a few hours ago and the guy there said it's probably due to a logic board failure. That was interesting since many of the people online discussing the same symptoms also noted issues with the logic board. The apple guy was really helpful, at least as much as he could be considering the situation. Replacing the logic board would cost more than half of the original price of the computer, so it looks most reasonable to just get a new computer. But this sucks!!! I would rather have a computer that's a little buggy every once in a while but lasts 4-5 years than one that runs great for just a couple years and then suddenly gives up the technological ghost. The apple guy said he had seen the exact same symptoms before with a malfunctioning logic board and told me I probably did nothing wrong for this to happen, it was just bad luck. It's useful that Consumer Reports provides data on brand reliability. I noticed that while Apple is relatively the best, there is still a frequency of 17% for problematic hardware. I guess I'm just a lucky guy. Would I recommend it? Yes, but I wish you better luck than I had.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/apple-macbook-air-11-inch-mjvm2ll-a-374085/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"48",47,47,"Apple","Apple MacBook Air 11-inch MJVM2LL/A computer","laptop","An 11.6-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",NA,NA,"True","","","",5,NA,"I would buy this product again and again","2016-06-04T18:34:24.206Z","2016-06-04","18:34:24.206","Tea/Toodie","Las Vegas, NV","Las Vegas"," NV","USA",NA,"","As with the Apple name, everything went as well as it was supposed to go.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/apple-macbook-air-11-inch-mjvm2ll-a-374085/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"49",48,48,"Apple","Apple MacBook Air 11-inch MJVM2LL/A computer","laptop","An 11.6-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",NA,NA,"True","","","",5,NA,"Love it","2016-01-29T07:44:10.751Z","2016-01-29","07:44:10.751","Linsey","Madison, Wisconsin","Madison"," Wisconsin","USA",NA,"","I love my Macbook air! I travel quite often for my job, and it is great to take on plane rides and into hotels due to its small size. It runs very fast most of the time, and has been dropped more than ten times, yet it stays intact.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/apple-macbook-air-11-inch-mjvm2ll-a-374085/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"50",49,49,"Apple","Apple MacBook Pro 13-inch MLH12LL/A computer","laptop","A 13.3-inch laptop tested with macOS Sierra 10.12, an Intel Core i5 2.9GHz processor, 8GB of memory, Intel Iris Graphics 550 graphics, and a 256GB solid state drive.",1,5,"True","CONS
1 Getting Used To Keyboard","PROS
1 Battery Life
1 Display
1 Fast Performance
1 Portability
1 Touch Bar","5 Stars 1
4 Stars 0
3 Stars 0
2 Stars 0
1 Star 0",5,NA,"Great Laptop","2016-12-29T16:02:26.177Z","2016-12-29","16:02:26.177","Zeke","Napa, CA","Napa"," CA","USA",NA,"Verified Reviewer","I mostly use the computer for business, for writing and photos. The display is amazing, especially for photos and graphics. The body is very thin and light, but solid. The processor is fast. It took a little while to get used to the flatter keys in the keyboard, but after a couple of days, there are no problems. I haven't mastered the touch bar, but I have used the Touch ID for Apple Pay. I am getting excellent battery life, unlike CR testers.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mlh12ll-a-388053/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"51",50,50,"Apple","Apple MacBook Pro 15-inch MLH32LL/A computer","laptop","A 15.4-inch laptop tested with macOS Sierra 10.12, an Intel Core i7 2.6GHz processor, 16GB of memory, AMD Radeon Pro 450/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",1,4,"True","CONS
1 Poor Battery Life","PROS
1 Adequate Storage
1 Durable Construction
1 Easy To Use
1 Fast
1 Large Screen","5 Stars 0
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",4,NA,"Love everything but the battery life","2017-07-26T15:20:32.600Z","2017-07-26","15:20:32.600","Twitchly","Michigan","","Michigan","USA",NA,"Verified Reviewer","Overall, I enjoy using this MacBook Pro. It's zippy and plenty powerful for my needs (Photoshop, mostly), and the display is gorgeous. The sound is surprisingly good as well. I got the most storage possible because of all the photography I do. I much prefer the Pro's keyboard to that of the 12"" MacBook (which I use for travel), but I'm underwhelmed with the Pro's battery life; that's its main drawback. At full brightness and only slight Photoshop use, I'll burn through a full charge in around 4 hours just surfing Safari and editing in Word. I have no idea how Consumer Reports gets its massive 17-hour-plus battery results. Like the MacBook, this MacBook Pro also has only USB-C ports, but I'm finding that less of an issue now that many peripherals are coming with USB-C connectors. I like the fact that it has four ports instead of the paltry single port on the 12"" MacBook. I'm surprised how much I like using touch-ID for signing in and the touchbar itself for certain tasks, like archiving or deleting email. I hope the touch-ID can be better integrated online in the future, eradicating the need for entering passwords everywhere. The quality of the machine is excellent, as usual, and for the most part it's a joy to use. Aside from the battery, no complaints.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-mlh32ll-a-388054/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"52",51,51,"Asus","Asus Q324UA-BHI7T17 computer","laptop","A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7500U 2.7GHz processor, 16GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 512GB solid state drive.",1,5,"True","CONS
1 Fingerprint Sensor Poor
1 Shows Fingerprints
1 Touch Screen Limitations","PROS
1 Adequate Storage
1 Easy To Use
1 Fast
1 Good Battery Life
1 Lightweight","5 Stars 1
4 Stars 0
3 Stars 0
2 Stars 0
1 Star 0",5,NA,"Very good business and personal computer.","2017-01-26T14:43:32.975Z","2017-01-26","14:43:32.975","ColoCoug","Fort Collins CO","","Fort Collins CO","USA",NA,"","I bought this computer primarily for travel and portable use around campus. It has more than met my expectations in most regards. Every aspect of this machine displays quality manufacture, good ergonomics and computing power. This Win10 machine should be useful and contemporary for years. Display: clear, bright, and useful in a wide variety of lighting situations. The screen is not a matte finish and is reflective, so it will show lights and objects in reflections. This has not been a problem, although on airplanes I sometimes have to angle the computer ti reduce reflection from bright objects in a darkened cabin. Resolution of the display is excellent and provides crisp viewing of documents and images. The screen easily displays every fingerprint, and the exterior of the computer tends to show prints as well, but there is an enclosed microfiber cloth which does a nice job of cleaning it up. I've seen reviews which criticize this fingerprint display, but screens generally show fingerprints anyway. Not a big problem for me. Keypad: the touch of the keys is very nice. I can always tell when I have depressed a key. I am able to type fairly fast with no higher error rate than normal. The home/end/pageup/pagedown functions can only be accessed by using the Function key, but that's not unusual with compact laptops; they can only have so many keys. I've become used to using the Function key in combinations as needed. Touchpad: very sensitive. It takes a bit of getting used to, but that's normal whenever you move between machines. The click functions of the main pad and the left/right buttons are easy to control. Speed: this is a very fast machine. Boot-up is less than 30 seconds and it's very responsive. Programs open quickly and operation has been absolutely flawless. TOP marks in this regard, which is one of the most important considerations for me. RAM and hard drive: The 16 GB of RAM and i7 processor make this a very fast machine. I'm confident that I won't run out of storage with the solid state 512 GB hard drive. Ports: It was important to me to have at least two USB-A ports, and I got them. There is also a USB-C port, which is a direction the PC industry is going, so I'm happy to have it. There is also a full size HDMI port which is important because in my higher education environment most projectors and classrooms have full size HDMI connections. There is an SD card port but I typically don't transfer files via SD so I haven't used it. Fingerprint sensor: worked the first half-dozen times I used it, but seems to have decided that's enough. I could try clearing it and re-entering my fingerprint every week, but why bother? I have a 4-character password to access the machine and that's quick and easy. In this regard the fingerprint sensor is no better or worse than most. Touchscreen: The main limitation of the computer is that the touchscreen is designed to open and close programs, drag objects around and carry out similar tasks. It does not serve as a graphics tablet, because its resolution of drawn objects and characters is blocky and rough. It will recognize styli such as the Gosin Digital Stylus, but numbers and characters drawn are blocky. It's not a replacement for a graphics tablet. Weight: it's actually an ounce or two heavier than the 2.8 pounds in its specifications, but it's still the best combination of power, portability and display quality that I have found. It's very compact, fits into a briefcase or backpack, and with the solid state hard drive, it's going to resist travel and handling very well. The folding screen: I like the folding screen which makes the computer into a tablet-like display. Just keep in mind that drawing on the screen isn't likely to result in very well drawn characters. Also be careful if you fold the screen over and sit the computer with the inactive keyboard sitting on an airline fold-down tray; I did this and one of the keys caught on the tray and popped off. ASUS replaced the key under warranty, but since I had to ship it to them (and got it back within 10 days, superb turnaround time) for the replacement, that was an inconvenience. I suspect this caution would apply to most laptops. Bottom line: I REALLY like this computer, love its fast performance and light weight, and find none of its shortcomings to be major issues.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/asus-q324ua-bhi7t17-387893/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"53",52,52,"Dell","Dell Inspiron 13 5000 computer","laptop","A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",1,1,"True","CONS
1 Unreliable Performance","PROS
1 Fast
1 Lightweight","5 Stars 0
4 Stars 0
3 Stars 0
2 Stars 0
1 Star
1",1,NA,"Manufacturer defects make many unusable","2017-01-03T07:35:17.302Z","2017-01-03","07:35:17.302","A. Rex","Washington, DC","Washington"," DC","USA",NA,"Verified Reviewer","The touchscreen on mine had a manufacturer defect that made it unusable. I reviewed the Dell support forum and this has been a known issue with this model dating back to at least November 2014. When I returned it to the store, they informed me a number of Inspiron 13 2-in-1s had been returned for the same issue - I exchanged it for a similar Acer. CR - please investigate if there should be a recall.","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/brondell-inspiron-13-5000-387112/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
"54",53,53,"Dell","Dell Inspiron i5759-5306SLV computer","laptop","A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",1,5,"True","CONS
1 Heavy
1 Poor Battery Life","PROS
1 Adequate Storage
1 Durable Construction
1 Easy To Use
1 Fast
1 Large Screen","5 Stars 1
4 Stars 0
3 Stars 0
2 Stars 0
1 Star 0",5,NA,"Best computer I've ever owned","2016-06-05T08:34:02.942Z","2016-06-05","08:34:02.942","slowwalker","Hillsdale, NJ","Hillsdale"," NJ","USA",NA,"","If you are willing to trade away its portability for performance this is the computer for you.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-inspiron-i5759-5306slv-385062/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"55",54,54,"Dell","Dell XPS 13 Convertible computer","laptop","A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7Y75 1.3GHz processor, 16GB of memory, Intel HD Graphics 615 graphics, a touchscreen, and a 256GB solid state drive.",2,3,"True","CONS
1 Light weight, durable , had to buy external driv
1 Noisy on speakers and headphone
1 Touchscreen, so replacement screen xpensive
1 Unreliable Performance","PROS
1 Alienware lap, Apple Macbook Pro
1 Helps visiting certain websites, i bought hp
1 I bought six laptops, dell xps touchscreen best
1 The touchscreen smoked them all by a mile.
1 Was the easiest to use, the touchscreen is great","5 Stars 1
4 Stars 0
3 Stars 0
2 Stars 0
1 Star
1",1,NA,"Bad quality, very noisy on speakers and headphone","2017-06-20T23:16:14.581Z","2017-06-20","23:16:14.581","Jay","Palo Alto, CA","Palo Alto"," CA","USA",NA,"","I bought Dell xps 13 from Costco, and found it made noise (cracking sound) in speakers and headphone after 4 months of purchase even if I did nothing, or even before I login. I googled, and found several users complained the same issue. I called tech support. They upgraded OS and drivers, but the issue was not resolved. They sent in a on-site tech guy to change the motherboard (the sound card is built-in on the motherboard), but it does not help either. They asked me to send the laptop to Texas service center, and changed fan, hard drive, main logic board, heatsink, LCD cable, and reinstalled the OS. This is a 4 month old laptop. I regret I did not purchase Costco extended warranty.","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
"56",55,55,"Dell","Dell XPS 13 Convertible computer","laptop","A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7Y75 1.3GHz processor, 16GB of memory, Intel HD Graphics 615 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",5,NA,"Cell finally hits a grand slam.","2017-05-26T23:21:05.082Z","2017-05-26","23:21:05.082","Sports dad","Dallas Texas","","Dallas Texas","USA",NA,"Verified Reviewer","Use it to help children learn and explore our world.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"57",56,56,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",7,3.7,"True","CONS
1 Coil Whine
1 Flicker In The Screen
1 Heavy
1 Oversensitive Trackpad
1 Poor Construction","PROS
6 Adequate Storage
6 Fast
5 Large Screen
4 Durable Construction
4 Easy To Use","5 Stars 3
4 Stars 2
3 Stars 0
2 Stars 1
1 Star
1",1,NA,"Reliasblilty","2017-07-14T10:39:01.483Z","2017-07-14","10:39:01.483","tom the disappointed","Novi mi","","Novi mi","USA",NA,"Verified Reviewer","I have to return computer after 100 days to replace mother board","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
"58",57,57,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",2,NA,"Wonderful laptop plagued by wretched coil whine","2017-04-30T10:53:03.937Z","2017-04-30","10:53:03.937","Amir Moazzami","Toronto, ON","Toronto"," ON","USA",NA,"","The Dell XPS 15 is a wonderful laptop that is plagued with a constant horrible squealing and screeching noise called Coil Whine. The laptop is sleek, polished, very powerful and sports a beautiful 4K display for movies and games. The GTX 1050 this laptop comes with can run some of the latest games out there on medium to high settings with at least 30fps. This could have very well been the greatest laptop ever created, except for one thing. Coil Whine. This isn't an isolated incident either. This is happening to over half of the Dell XPS 15 laptops sold. Coil Whine is a horribly annoying screeching sound a laptop or desktop can make. It comes from a vibrating coil from the GPU. The Dell XPS 15 would have been a wonderful machine to do EVERYTHING on, if it didn't constantly make a horrible screeching noise while doing it.","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
"59",58,58,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",5,NA,"Best Laptop I have ever owned, ever, second best was XPS 12.","2017-02-11T08:09:37.370Z","2017-02-11","08:09:37.370","UNCG GIS Grad Student","Greensboro, NC","Greensboro"," NC","USA",NA,"","I love this machine. Fabulous display!!! I have the 4K touch display and this is fine on its own, but if you have a second monitor it should be 4K as well, otherwise there are odd screen text size effects within certain applications. . . I recommend the 1TB SSD, and maxing out the memory and this will be the best Geographical Information Science (GIS) PC you have ever owned. It is screaming through my dissertation research, while my older Dell Desktop with more memory, more processors, and a larger HDD was significantly slower. Also while the onboard speakers are pretty good, more is better. . . so plug something in and it is a mini theater experience. Get the i7 processor. I have an 8TB Seagate USB3 HDD that I transfer files to and from and the transfer rates for large files actually average above 100 Mbps and have topped out about 175Mbps, which is significantly under the theoretical max of 640 Mbps. Even so, this is the fastest of any of my PC's for large processing tasks, especially when using ArcGIS Pro V 1.4. The only improvement would be a number pad on the keyboard, there is plenty of extra room on the right and left of the keyboard that it could be fit, and it would make keying in numbers faster.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"60",59,59,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",4,NA,"Amazing computer, save an annoying flicker","2016-11-10T18:10:02.985Z","2016-11-10","18:10:02.985","Thom","Northern Califoania","","Northern Califoania","USA",NA,"Verified Reviewer","I have the nearly fully loaded version of this model; i7, 1TB SSD, Nvidia Discreet Graphics, 4K touch, however I only have 16GB of Ram. In the past I have used Macbook Pros and Thinkpads (T400 and X1). Because I rest my palms when I type I love the rubberized feel of the carbon fiber inside. Keyboard is fine. The nearly bezel-less screen is amazing save this: there is this annoying faint/subtle flicker where the brightness seems to rapidly change and revert within a fraction of a second and it is inconsistent. I have spent over 8 hours with Dell trouble shooting this, until another user captured it on Youtube I think their heavily accented tech support thought I was nuts. Apparently, before I purchased mine there was a horrible on off flicker with the screen that has since been resolved with software, I never experienced that. Anyway, I went in for $2400 on my model, primarily for an amazing screen that I could read on up close, while also being able to edit photos in photoshop without having to worry about it becoming obsolete for some time. If this flicker is ever resolved this is the best available, however with the flicker I feel it diminishes my experience by $1000 to the point where it may end up on ebay to save my eyes","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"61",60,60,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",5,NA,"Best computer I ever used","2016-07-08T13:04:10.324Z","2016-07-08","13:04:10.324","DennisNSurprise","Surprise, AZ","Surprise"," AZ","USA",NA,"","I use my new Dell computer for light business applications and heavy peron use. I have found it to be very reliable, especially in comparison to an HP that I returned for constantly crashing. The processing speed is extraordinary, exceeded only by the few seconds it takes to start from ""dead"" start to ready-to-go.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"62",61,61,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",4,NA,"Excellent but not perfect","2016-06-05T05:58:07.364Z","2016-06-05","05:58:07.364","AlexNotebookUser","Maryland","","Maryland","USA",NA,"","The Dell 9550 (XPS 15"") tops rating charts on several review sites, including CR. I had steered away from Dell for a couple of years because of reliability issues, but when it came time to buy a replacement Dell XPS had the best feature set balanced with battery performance. This is my Road Warrior system: i7 QuadCore, 16GB RAM, nVidia graphics, SSD, long battery life. Great for long haul plane flights or in a backpack around campus. The thin bezel is outstanding: you really do get a 15"" display in a 14"" package. Mine is a touchscreen and it works great, but not a feature I am accustomed to. Maybe it will grow on me...? The only issue that keeps me from rating this machine 5 stars is the Trackpad. It does not react intuitively compared to all notebooks I've owned previously. Instead of a X-Y touch area and two buttons, Dell has made it one continuous surface with two ""virtual"" buttons outlined at the bottom. I seem to have adapted a two-hand trackpad style where I'd keep my left index finger on the buttons and track with my right. This Doesn't Work! The pad is too sensitive and gets confused when I have two fingers operating it this way. It would be nice if Dell could reprogram the lowest 1/5th of the pad to act only as buttons and not as tracking surface. That would more closely emulate other notebooks I use. I have used this machine for high-end gaming, word processing, LAMP development work, image processing, internet surfing. It excels at everything. It rivals my i7-3770 based desktop for processing power. All things considered, I'd buy this machine again despite its nearly $2k price tag.","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"63",62,62,"Dell","Dell XPS 15 Touch 6th-Gen computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 256GB solid state drive.",NA,NA,"True","","","",5,NA,"Very pleased","2016-05-17T22:09:48.293Z","2016-05-17","22:09:48.293","Pathfinder","Bedford, MA","Bedford"," MA","USA",NA,"","I use the XPS 15 for writing books in WordPerfect. For photo editing. Email. And all common uses. I am overall very pleased with it, but I've had software issues with Windows 10 and with WordPerfect. The former seem to have been resolved by Microsoft updates. The latter my disappear later this week when I receive the newest version of WordPerfect. (I am eternally optimistic).","Yes, I would recommend to a friend","http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"64",63,63,"HP","HP 15-ay013dx computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 6GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",2,2.5,"True","CONS
1 Crashes/Freezes","PROS
No Pros","5 Stars 0
4 Stars 1
3 Stars 0
2 Stars 0
1 Star
1",4,NA,"hp laptop model 15","2016-07-15T19:25:43.686Z","2016-07-15","19:25:43.686","Ray","oregon","","oregon","USA",NA,"","the HP company has installed a lot of unnecessary that is just irritating if you don't want it. I had to delete a lot of junk to get it back to the basics. also, there is only one speaker jack. you can't plug in a headphone with a microphone. One of the worst things that HP has done is they eliminated the windows media player ability to play videos. These things are bad enough that I will never buy another HP computer or never own windows 10 again","","http://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",1
"65",64,64,"HP","HP 15-ay013dx computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 6GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",NA,NA,"True","","","",1,NA,"Defective","2016-07-07T09:48:18.334Z","2016-07-07","09:48:18.334","BCB","Oregon","","Oregon","USA",NA,"","Purchased new. Optical drive defective from the start. Returned to store.","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
"66",65,65,"HP","HP 15-BA061DX computer","laptop","A 15.6-inch laptop tested with Windows 10 Home, an AMD A12-9700P 2.5GHz processor, 6GB of memory, AMD Radeon R7 Graphics graphics, and a 1TB hard drive.",1,1,"True","CONS
No Cons","PROS
No Pros","5 Stars 0
4 Stars 0
3 Stars 0
2 Stars 0
1 Star
1",1,NA,"Never again","2017-07-19T11:40:40.207Z","2017-07-19","11:40:40.207","Nitefeatherz","Long Island, NY","Long Island"," NY","USA",NA,"Verified Reviewer","This computer has been a problem since I purchased it. First the software was corrupted and I had to contact HP and Microsoft to get the computer to even work. Now it works but it is massively slow to the point where I have gone back to my old laptop. Replaced the old laptop when I dumped a latte on it- even shorted out and ten years old it is still quicker and more effective than this paperweight. What a waste of money. Try to contact the companies involved and you just play phone tag.","No, I would not recommend to a friend","http://www.consumerreports.org/products/laptop/hp-15-ba061dx-389340/user-reviews#user-reviews","Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n",0
